Mutant,test2,test3,test0,test1,Total,Equiv?
VDL_12, , ,1,1,2, 
VDL_13,1,1,1,1,4, 
VDL_10, , , , ,0, 
VDL_11, , , , ,0, 
COI_3,1, ,1,1,3, 
COI_2, , ,1,1,2, 
AOIS_424,1, ,1,1,3, 
COI_1, , ,1,1,2, 
AOIS_554, , ,1,1,2, 
AOIS_433, , , , ,0, 
AOIS_203,1, ,1,1,3, 
AOIS_449, , , , ,0, 
AOIU_3, , , , ,0, 
AOIU_4, , ,1,1,2, 
AOIU_1, , ,1,1,2, 
AOIU_2, , , , ,0, 
AORB_9, , , , ,0, 
AOIU_9, , ,1,1,2, 
ROR_613,1, ,1,1,3, 
AOIU_7, , , , ,0, 
AOIU_8, , , , ,0, 
AOIU_5, , , , ,0, 
AOIU_6, , ,1,1,2, 
AORB_3, , , , ,0, 
AORB_4, , ,1,1,2, 
AORB_1, , ,1,1,2, 
AORB_2,1,1,1,1,4, 
AORB_7, , , , ,0, 
AORB_8, , , , ,0, 
AORB_5, , , , ,0, 
AORB_6, , , , ,0, 
AOIS_19, , ,1,1,2, 
ROR_2,1,1,1,1,4, 
ROR_14, , ,1,1,2, 
AOIS_18, , ,1,1,2, 
ROR_3, , ,1,1,2, 
ROR_13,1,1,1,1,4, 
AOIS_17, , ,1,1,2, 
ROR_16, , ,1,1,2, 
ROR_4, , ,1,1,2, 
AOIS_16, , , , ,0, 
ROR_5,1, ,1,1,3, 
ROR_15, , , , ,0, 
AOIS_15, , ,1,1,2, 
ROR_10, , , , ,0, 
AOIS_14, , ,1,1,2, 
AORB_32,1,1,1,1,4, 
AOIS_500, , , , ,0, 
AOIS_13,1, , , ,1, 
ROR_8,1,1,1,1,4, 
ROR_12,1, , ,1,2, 
AOIS_12,1, , , ,1, 
ROR_9, , ,1,1,2, 
ROR_11, , ,1,1,2, 
AOIS_11,1, , , ,1, 
AOIS_10,1, , , ,1, 
AOIS_181, , , ,1,1, 
ROR_1, , , , ,0, 
ROR_408, , , , ,0, 
AOIS_625, , , , ,0, 
AOIS_504,1, ,1,1,3, 
AOIS_746, , , , ,0, 
AOIS_506, , , , ,0, 
ROR_18,1,1,1,1,4, 
ROR_17, , ,1,1,2, 
ROR_19, , , , ,0, 
AORB_27, , ,1,1,2, 
AORB_28, , ,1,1,2, 
AORB_25, , ,1,1,2, 
AORB_26, , ,1,1,2, 
AORB_23, , ,1,1,2, 
AORB_24,1,1,1,1,4, 
AOIS_752, , , , ,0, 
AORB_21,1,1,1,1,4, 
AORB_22, , , , ,0, 
AOIS_194, , , , ,0, 
AORB_29,1,1,1,1,4, 
AORB_30, , ,1,1,2, 
AORB_31, , ,1,1,2, 
AOIS_759, , , , ,0, 
AORB_16, , ,1, ,1, 
AORB_17,1,1,1,1,4, 
AORB_14, , ,1,1,2, 
AORB_15, , , , ,0, 
AOIS_761, , , , ,0, 
AORB_12, , ,1,1,2, 
AORB_13, , , , ,0, 
AORB_10,1,1,1,1,4, 
AORB_11, , ,1,1,2, 
AORB_18, , , , ,0, 
AORB_19, , , , ,0, 
CDL_4, , , , ,0, 
ODL_21,1,1,1,1,4, 
ODL_20, , , ,1,1, 
AORB_20, , ,1,1,2, 
ODL_22, , ,1,1,2, 
ODL_19, , ,1,1,2, 
AOIS_411, , ,1,1,2, 
AOIS_655,1, , , ,1, 
AOIS_5,1,1,1,1,4, 
AOIS_6, , , , ,0, 
AOIS_3, , ,1,1,2, 
AOIS_4, , ,1,1,2, 
AOIS_1,1, ,1,1,3, 
AOIS_2,1, , , ,1, 
AOIU_84, , , , ,0, 
AOIS_9,1, , , ,1, 
AOIU_128, , ,1,1,2, 
AOIS_7, , ,1,1,2, 
ODL_10, , ,1,1,2, 
AOIS_8, , , , ,0, 
ODL_12,1,1,1,1,4, 
ODL_11, , , , ,0, 
ODL_16, , ,1,1,2, 
ODL_15, , , , ,0, 
ODL_18, , , , ,0, 
ODL_17, , , , ,0, 
AOIS_141, , ,1,1,2, 
AOIS_59, , ,1,1,2, 
AOIS_58, , ,1,1,2, 
AOIS_57, , ,1,1,2, 
AOIS_56, , ,1,1,2, 
AOIS_55, , , , ,0, 
AOIS_54, , , , ,0, 
AOIS_53,1,1,1,1,4, 
AOIS_52, , ,1,1,2, 
AOIS_51, , ,1,1,2, 
AOIS_50, , , , ,0, 
AOIS_702,1, ,1,1,3, 
AOIS_274, , , , ,0, 
AOIS_49,1,1,1,1,4, 
AOIS_48, , , , ,0, 
AOIS_47, , ,1,1,2, 
AOIS_46, , ,1,1,2, 
AOIS_45, , ,1,1,2, 
AOIS_44, , , , ,0, 
AOIS_43, , , , ,0, 
AOIS_42,1,1,1,1,4, 
AOIS_41, , , , ,0, 
AOIS_40, , , , ,0, 
CDL_2, , ,1,1,2, 
SDL_11, , , , ,0, 
SDL_12,1,1,1,1,4, 
AOIS_39, , , , ,0, 
SDL_13, , , , ,0, 
AOIS_38, , ,1,1,2, 
SDL_14, , ,1,1,2, 
VDL_9, , ,1,1,2, 
AOIS_37,1, ,1,1,3, 
AOIS_36, , , , ,0, 
AOIS_35, , , , ,0, 
AOIS_34, , ,1,1,2, 
SDL_10,1, ,1,1,3, 
AOIS_33, , ,1,1,2, 
AOIS_32, , ,1,1,2, 
VDL_3, , ,1,1,2, 
AOIS_31, , ,1,1,2, 
VDL_2, , ,1,1,2, 
AOIS_168, , , , ,0, 
AOIS_30, , , , ,0, 
VDL_1, , ,1,1,2, 
VDL_7,1,1,1,1,4, 
VDL_6,1,1,1,1,4, 
AOIS_29,1, ,1,1,3, 
AOIS_28, , ,1,1,2, 
AOIS_27, , , , ,0, 
AOIS_26, , ,1,1,2, 
ROR_21, , ,1,1,2, 
AOIS_25, , ,1,1,2, 
ROR_20, , ,1,1,2, 
AOIS_24, , ,1,1,2, 
AOIS_23, , ,1, ,1, 
AOIS_22, , ,1,1,2, 
ODL_9, , ,1,1,2, 
AOIS_21, , ,1, ,1, 
AOIS_20,1, ,1,1,3, 
ODL_1, , ,1,1,2, 
ODL_3, , ,1,1,2, 
ODL_2, , , , ,0, 
ODL_4, , , , ,0, 
ROR_576, , , , ,0, 
AOIS_340, , , , ,0, 
AOIS_94, , ,1,1,2, 
AOIU_38, , , , ,0, 
SDL_5,1,1,1,1,4, 
SDL_4, , ,1,1,2, 
SDL_7, , , , ,0, 
SDL_9, , ,1,1,2, 
SDL_8, , ,1,1,2, 
SDL_1, , ,1,1,2, 
SDL_3, , , , ,0, 
SDL_2, , ,1,1,2, 
AOIS_76, , , , ,0, 
AOIS_75, , , , ,0, 
AOIS_74,1, ,1,1,3, 
AOIS_73,1, ,1,1,3, 
AOIS_72,1, ,1,1,3, 
AOIS_71,1, ,1,1,3, 
AOIS_70, , , , ,0, 
AOIU_10, , ,1,1,2, 
AOIU_11, , ,1,1,2, 
AOIU_12, , , , ,0, 
AOIU_13, , ,1,1,2, 
AOIU_14, , ,1,1,2, 
AOIU_15, , , , ,0, 
AOIU_16, , ,1,1,2, 
AOIS_69, , , , ,0, 
AOIS_68,1, ,1,1,3, 
AOIS_67, , , , ,0, 
AOIS_66,1,1,1,1,4, 
AOIS_65, , ,1,1,2, 
AOIS_64,1,1,1,1,4, 
AOIS_63,1,1,1,1,4, 
AOIS_62,1,1,1,1,4, 
AOIS_61, , ,1,1,2, 
AOIS_60, , ,1,1,2, 
