Mutant,test4,test5,test2,test3,test0,test1,Total,Equiv?
VDL_10,1,1, ,1,1, ,4, 
COI_3,1,1, ,1,1, ,4, 
COI_2,1,1, ,1,1, ,4, 
LOI_5,1,1, ,1,1, ,4, 
LOI_6,1,1, ,1,1, ,4, 
LOI_8,1,1, ,1,1, ,4, 
LOI_1,1,1,1,1,1,1,6, 
LOI_2,1,1, ,1,1, ,4, 
LOI_4,1,1, ,1,1, ,4, 
COI_1,1,1, ,1,1,1,5, 
CDL_1, , , , , , ,0, 
CDL_2,1,1, ,1,1, ,4, 
CDL_3,1,1, ,1,1, ,4, 
LOI_9,1,1, ,1,1, ,4, 
AOIS_38, , , , , , ,0, 
VDL_9,1,1, ,1,1, ,4, 
AOIS_37, , , , , , ,0, 
AOIS_36,1,1, ,1,1, ,4, 
AOIS_35,1,1, ,1,1, ,4, 
AOIS_34,1,1, ,1,1, ,4, 
SDL_10,1,1, ,1, , ,3, 
AOIS_33,1,1,1,1,1,1,6, 
AOIS_32,1,1, ,1,1, ,4, 
AOIS_31,1,1,1,1,1,1,6, 
VDL_2,1,1,1,1,1,1,6, 
AOIS_30,1,1, ,1,1, ,4, 
VDL_6,1,1, ,1,1, ,4, 
VDL_5,1,1,1,1,1,1,6, 
AOIS_29,1,1, ,1,1, ,4, 
AOIS_28,1,1, ,1,1, ,4, 
AOIS_27,1,1,1,1,1,1,6, 
AOIS_26,1,1, ,1,1, ,4, 
ROR_21,1,1, ,1,1, ,4, 
AOIS_25,1,1,1,1,1,1,6, 
ROR_20,1,1, ,1, , ,3, 
AOIS_24,1,1, ,1,1, ,4, 
AOIS_23,1,1,1,1,1,1,6, 
AOIU_3,1,1, ,1,1, ,4, 
AOIS_22,1,1, ,1,1, ,4, 
AOIU_4,1,1, ,1,1, ,4, 
AOIS_21,1,1, ,1,1, ,4, 
AOIU_1,1,1,1,1,1,1,6, 
AOIS_20,1,1,1,1,1, ,5, 
AOIU_2,1,1, ,1,1, ,4, 
ODL_1, , , , , , ,0, 
AORB_9,1,1, ,1,1, ,4, 
AOIU_9,1,1, ,1,1, ,4, 
ODL_2,1,1, ,1,1, ,4, 
AOIU_7,1,1, ,1,1, ,4, 
AOIU_8,1,1, ,1,1, ,4, 
AOIU_5,1,1, ,1,1, ,4, 
ODL_7,1,1, ,1,1, ,4, 
AOIU_6,1,1, ,1,1, ,4, 
ODL_6,1,1, ,1,1, ,4, 
AORB_3,1,1, ,1,1, ,4, 
AORB_4, , , , , , ,0, 
AORB_1, , , , , , ,0, 
AORB_2, , , , , , ,0, 
AORB_7,1,1, ,1,1, ,4, 
AORB_8,1,1, ,1,1, ,4, 
AORB_5,1,1, ,1,1, ,4, 
AORB_6,1,1, ,1,1, ,4, 
AOIS_19, ,1, ,1,1, ,3, 
ROR_2,1,1, ,1,1,1,5, 
AOIS_18,1,1, ,1,1, ,4, 
ROR_3, , , , , , ,0, 
ROR_13,1,1, ,1,1, ,4, 
AOIS_17, ,1, ,1,1, ,3, 
ROR_16,1,1, ,1,1, ,4, 
ROR_4,1,1, ,1,1,1,5, 
AOIS_16,1,1, ,1,1, ,4, 
ROR_5,1,1, ,1,1,1,5, 
ROR_15,1,1, ,1,1, ,4, 
AOIS_15,1,1, ,1,1, ,4, 
ROR_10,1,1, ,1,1,1,5, 
AOIS_14,1,1, ,1,1, ,4, 
AOIS_13,1,1, ,1,1, ,4, 
ROR_8,1,1, ,1,1, ,4, 
ROR_12, , , , , , ,0, 
ROR_9,1,1, ,1,1, ,4, 
ROR_11,1,1, ,1,1, ,4, 
AORS_2,1,1, ,1,1, ,4, 
AORS_1,1,1, ,1,1, ,4, 
ROR_1,1,1, ,1,1, ,4, 
ROR_18,1,1, ,1,1, ,4, 
ROR_17,1,1, ,1, , ,3, 
ROR_19,1,1, ,1, , ,3, 
SDL_5,1,1, ,1,1, ,4, 
SDL_4,1,1, ,1,1, ,4, 
SDL_7,1,1,1,1,1,1,6, 
SDL_6,1,1, ,1,1, ,4, 
SDL_9,1,1, ,1,1, ,4, 
SDL_8,1,1, ,1,1, ,4, 
SDL_1,1,1,1,1,1, ,5, 
SDL_2,1,1, ,1,1, ,4, 
AORB_16,1,1, ,1,1, ,4, 
AORB_17,1,1, ,1,1, ,4, 
AORB_14,1,1, ,1,1, ,4, 
AORB_15,1,1, ,1,1, ,4, 
AORB_12,1,1, ,1,1, ,4, 
AORB_13,1,1, ,1,1, ,4, 
AORB_10,1,1, ,1,1, ,4, 
AORB_11,1,1, ,1,1, ,4, 
AORB_18,1,1, ,1,1, ,4, 
AORB_19,1,1, ,1,1, ,4, 
CDL_4,1,1, ,1,1, ,4, 
CDL_5,1,1, ,1,1, ,4, 
AOIU_10,1,1, ,1,1, ,4, 
AORB_20,1,1, ,1,1, ,4, 
AOIS_3, ,1, ,1,1, ,3, 
AOIS_4,1,1, ,1,1, ,4, 
AOIS_1,1,1, ,1,1, ,4, 
AOIS_2,1,1, ,1,1, ,4, 
LOI_14,1,1, ,1,1, ,4, 
LOI_10,1,1, ,1,1, ,4, 
LOI_11,1,1, ,1,1, ,4, 
LOI_12,1,1, ,1,1, ,4, 
LOI_13,1,1, ,1,1, ,4, 
ODL_12,1,1, ,1,1, ,4, 
ODL_11,1,1, ,1,1, ,4, 
ODL_16,1,1, ,1,1, ,4, 
ODL_15,1,1, ,1,1, ,4, 
ODL_18,1,1, ,1,1, ,4, 
ODL_17,1,1, ,1,1, ,4, 
